PM2.5,PM10,NO2,SO2,CO,Temperature,Humidity,AQI
469.75,600.0,53.71,15.38,5.36,33.17,23.06,497.99
447.41,600.0,57.49,88.62,3.94,26.27,43.63,500.0
298.95,376.57,131.35,45.85,8.48,32.07,63.17,342.4
460.94,575.45,193.71,56.46,4.93,25.74,91.29,478.1
44.25,67.59,120.73,66.3,4.72,16.6,84.43,127.3
97.99,135.98,15.4,67.91,4.9,27.78,37.13,173.04
22.61,38.17,15.12,93.17,8.47,28.5,36.51,105.47
162.67,281.41,190.28,99.69,8.32,38.37,35.09,210.19
194.34,261.85,59.46,72.02,4.04,35.74,89.19,250.35
135.67,171.74,18.41,28.72,3.33,33.23,83.95,196.6
414.37,600.0,119.81,87.98,4.92,13.97,78.12,500.0
178.38,230.53,124.73,4.92,5.73,35.22,49.46,230.06
140.47,235.4,129.7,23.11,2.38,27.51,57.83,202.49
271.35,378.97,53.48,89.74,7.94,41.29,54.82,317.23
70.46,110.43,3.02,25.62,4.86,42.2,39.0,155.23
401.1,468.03,193.0,22.07,3.34,11.93,57.88,420.77
37.28,57.28,50.18,13.81,1.07,38.72,22.29,103.72
493.44,600.0,135.21,85.91,2.39,11.32,29.89,496.73
386.12,583.29,141.33,50.01,9.49,22.85,86.49,485.78
99.36,120.98,122.0,67.49,3.05,28.98,76.38,180.09
2.76,4.46,62.58,23.91,1.69,15.18,51.72,55.07
407.73,600.0,54.22,75.8,4.61,36.12,58.79,500.0
353.43,442.39,119.53,76.0,3.07,10.29,47.75,381.74
364.5,425.38,173.22,31.26,0.35,15.9,75.56,395.05
385.64,430.58,189.35,41.07,3.23,30.33,78.81,417.95
37.02,57.36,21.18,20.97,5.44,35.0,77.25,111.36
179.23,273.32,30.97,97.66,5.52,42.08,74.2,234.31
57.93,85.9,188.95,64.56,3.57,34.69,35.34,150.02
431.55,544.77,147.31,93.45,4.47,33.51,45.35,444.81
311.65,428.09,176.6,30.34,9.66,23.8,55.24,348.63
165.45,250.84,40.53,78.19,3.77,10.04,44.81,214.69
31.78,46.01,117.52,76.59,2.58,14.21,76.62,105.81
155.49,278.55,140.23,69.17,2.43,28.71,44.7,202.66
162.59,194.38,136.02,96.56,4.58,33.63,30.37,211.22
364.8,578.8,81.63,39.36,7.6,24.61,49.93,478.02
318.78,440.88,3.08,13.07,2.06,35.57,93.49,362.27
443.61,600.0,116.59,67.17,7.09,28.27,36.94,500.0
236.11,378.32,50.62,72.93,0.21,12.6,65.91,286.52
59.8,94.76,90.05,57.51,4.19,16.72,52.47,156.29
356.62,600.0,191.52,20.68,7.76,39.4,25.33,500.0
380.39,452.62,79.81,50.45,3.39,35.37,56.59,405.85
280.64,329.15,167.96,31.22,5.64,41.32,72.66,327.46
385.48,600.0,37.71,42.75,2.05,14.11,58.49,499.84
246.9,371.55,134.49,64.52,7.42,44.66,85.41,296.92
261.37,337.66,195.4,74.52,0.52,17.33,41.67,307.22
213.77,247.03,20.38,23.22,8.53,10.41,26.47,258.64
12.71,14.74,1.66,40.53,1.98,44.91,90.24,60.29
53.95,93.11,86.72,26.92,8.74,19.84,48.36,143.16
15.71,19.4,18.53,19.86,3.53,33.38,63.23,63.21
318.21,422.05,149.68,78.34,7.23,16.18,79.4,357.2
157.18,197.83,182.91,90.93,3.19,30.31,44.32,208.1
254.29,342.9,86.8,37.02,9.06,41.64,73.71,309.65
453.78,521.21,51.74,75.13,1.27,21.21,30.16,460.82
124.65,182.4,86.88,89.7,1.79,33.46,41.85,190.26
205.19,235.42,144.69,84.61,4.93,16.58,30.85,252.33
377.78,600.0,1.81,18.28,0.82,31.87,80.84,500.0
114.4,144.55,117.89,95.63,1.96,21.78,36.7,183.67
38.49,56.89,122.66,37.67,9.44,17.39,73.81,110.53
144.88,248.61,127.54,33.92,9.76,20.96,90.75,199.14
80.61,125.4,48.4,6.24,3.76,16.26,59.58,160.48
464.85,600.0,142.81,48.62,9.23,41.57,60.5,500.0
404.06,536.2,18.28,10.9,5.45,23.9,54.58,427.45
316.7,422.2,39.85,24.85,2.7,18.58,44.44,356.22
435.73,600.0,175.49,31.69,7.02,25.69,55.67,499.81
401.84,600.0,147.74,80.88,6.59,21.22,65.21,498.86
93.29,145.83,2.75,87.55,9.89,36.05,93.95,178.8
446.28,600.0,49.68,30.25,2.65,43.99,90.33,500.0
269.67,434.56,42.88,85.87,6.72,25.33,84.66,320.23
403.72,575.56,54.16,85.72,0.52,40.14,86.68,479.84
448.05,511.71,49.51,76.47,1.14,29.81,55.09,459.7
159.0,237.49,12.51,14.67,0.04,15.5,69.31,210.52
55.03,97.41,91.79,69.03,9.99,34.17,87.13,157.08
113.97,139.35,146.55,94.5,8.02,27.97,49.47,183.14
213.55,338.06,121.35,68.25,7.87,32.77,92.13,268.44
409.01,507.44,134.57,33.16,5.1,41.14,51.18,433.34
430.37,600.0,16.23,50.06,3.0,25.42,65.08,495.66
3.48,4.06,190.3,64.57,1.51,41.54,73.24,127.83
255.37,361.42,167.7,51.06,2.85,36.27,91.29,306.44
208.71,340.05,161.02,12.0,3.76,27.1,38.35,256.26
111.05,149.18,164.6,31.21,7.56,31.11,75.96,183.09
59.93,93.82,186.54,80.24,5.4,21.4,59.06,153.29
168.81,279.68,108.85,86.14,0.77,44.43,40.14,223.59
471.45,600.0,40.06,13.73,0.18,33.36,78.25,500.0
161.6,204.3,123.36,95.24,1.02,11.53,61.42,211.78
259.4,357.84,148.58,32.88,4.1,21.43,69.57,308.07
351.51,424.16,147.58,66.23,9.33,31.82,44.22,382.75
181.81,326.31,104.29,75.18,6.37,11.97,56.1,230.53
485.89,600.0,13.69,81.19,8.02,10.84,66.3,499.74
481.22,600.0,74.22,94.57,4.66,25.75,50.37,498.77
125.89,212.68,184.15,31.29,3.62,21.64,34.88,184.05
248.62,364.15,116.89,85.85,1.08,25.34,92.12,303.22
150.44,231.15,107.67,13.17,8.76,19.19,58.36,141.02
142.42,165.55,53.77,70.5,7.83,15.77,75.04,195.5
18.44,30.04,73.69,74.2,1.68,34.12,50.83,98.27
304.78,362.51,179.07,67.77,5.12,28.01,46.63,345.94
251.34,421.81,133.29,25.23,4.87,17.01,50.54,300.44
25.74,42.4,157.48,87.3,6.25,21.19,50.69,113.26
139.32,222.38,90.87,16.89,9.46,30.71,60.81,193.95
454.13,511.04,126.05,5.36,5.8,12.53,60.76,458.17
119.78,157.18,49.68,71.75,5.4,15.16,57.29,182.11
72.45,93.04,141.09,47.55,0.5,12.56,30.11,153.98
244.73,330.89,85.52,84.91,0.63,38.43,57.21,296.92
492.83,572.34,88.51,38.34,1.87,36.33,32.68,492.65
121.03,212.51,129.86,16.83,0.32,36.37,29.46,186.34
336.07,499.96,187.26,83.64,7.43,35.07,89.95,391.02
380.81,500.33,12.8,54.89,7.23,33.43,65.37,408.11
118.82,163.72,164.95,18.92,1.36,26.69,69.46,186.29
364.11,514.5,58.48,72.04,8.36,32.48,50.13,404.4
183.89,279.59,88.78,51.11,1.55,11.34,88.17,235.8
316.15,461.89,4.38,60.43,3.01,31.75,67.84,357.44
316.76,552.3,60.21,46.09,2.49,37.23,77.69,448.38
267.89,387.87,100.53,82.87,3.72,27.51,47.64,318.51
45.14,81.01,11.24,82.96,2.55,22.51,92.0,127.98
417.65,600.0,98.22,70.94,4.89,19.71,81.53,499.08
160.39,199.84,185.42,10.54,4.07,32.5,84.05,215.8
93.26,163.34,21.08,83.89,9.87,34.25,32.91,168.05
20.39,24.09,152.89,67.1,0.56,40.48,40.32,113.83
295.45,494.05,81.93,69.7,1.42,21.98,41.42,383.73
338.78,462.92,131.03,36.3,0.53,36.94,40.32,370.27
8.29,14.22,52.05,87.93,6.26,29.65,84.16,111.31
256.05,437.24,31.9,72.54,0.55,40.9,22.39,310.15
113.25,188.46,32.09,11.26,8.36,28.47,25.71,180.04
322.59,533.24,14.1,40.78,5.12,28.12,40.54,421.39
87.18,114.5,37.13,88.64,5.27,30.23,34.99,165.08
345.47,399.58,132.84,4.72,5.62,36.23,37.39,374.42
193.37,267.25,176.34,96.14,1.71,43.76,79.85,251.11
468.36,572.09,162.83,67.92,1.98,12.57,62.23,476.65
68.76,109.09,137.03,63.14,3.19,11.87,20.43,152.98
170.53,228.9,22.09,27.06,5.93,42.81,52.2,221.58
56.74,101.16,57.84,24.88,2.1,28.55,50.59,156.2
462.35,600.0,61.96,94.21,1.16,31.52,28.55,496.96
438.67,600.0,49.99,29.83,9.7,26.88,70.71,496.95
128.97,153.83,103.0,77.55,0.22,13.28,72.66,190.59
329.99,562.11,107.11,39.31,8.03,36.88,74.07,458.34
408.61,600.0,71.38,13.93,7.88,36.15,74.64,500.0
277.6,400.01,70.76,1.07,2.97,20.91,20.0,318.05
264.83,403.69,165.71,54.43,1.36,20.72,91.54,317.45
120.93,197.76,157.86,97.58,1.46,39.32,81.07,193.54
46.55,56.9,61.56,36.91,6.97,12.53,87.8,127.1
448.61,600.0,182.76,35.72,6.43,40.84,21.17,498.08
450.21,600.0,190.56,34.41,7.83,18.98,90.04,500.0
316.55,380.64,65.35,52.05,9.37,30.75,80.73,361.46
169.51,230.08,70.88,44.07,6.92,42.76,82.79,224.14
174.6,200.4,101.13,87.99,1.56,33.73,27.0,222.41
362.98,405.83,188.22,50.55,2.43,24.51,75.41,394.37
448.56,535.85,175.26,50.78,8.42,34.13,91.99,463.09
443.54,600.0,20.51,13.84,2.09,22.04,70.89,500.0
389.94,578.93,78.55,98.27,0.73,19.7,62.79,472.65
321.02,570.15,110.67,25.0,7.03,44.88,90.92,478.67
42.07,59.01,100.63,7.34,4.03,36.28,53.22,115.82
80.81,106.54,38.77,66.31,9.2,32.57,64.95,165.9
449.28,600.0,171.76,59.54,6.5,22.44,55.73,500.0
303.21,426.82,135.39,41.51,0.9,11.72,89.96,349.83
4.6,5.4,167.58,42.22,9.48,11.09,25.71,105.77
50.74,78.57,171.75,78.51,2.59,29.4,57.58,144.89
331.75,415.1,149.67,19.57,3.37,36.67,71.52,371.6
2.53,3.88,87.84,82.03,4.02,28.81,79.39,108.26
80.4,125.04,122.11,64.87,0.51,39.43,63.73,164.93
274.37,331.0,32.07,41.9,4.97,11.17,88.17,323.21
345.95,395.4,134.73,45.8,1.23,22.84,90.65,379.06
325.98,536.74,35.85,25.66,4.01,18.3,24.82,427.71
112.13,159.44,138.79,75.21,3.51,25.65,50.18,177.93
356.09,406.2,45.92,51.29,7.73,12.53,21.76,380.24
118.62,213.1,23.51,32.09,8.03,43.39,44.71,184.43
162.7,185.55,33.06,59.61,1.53,17.81,60.27,210.57
373.25,592.16,0.4,99.57,3.67,42.28,88.31,499.37
324.82,580.96,143.75,43.53,3.73,24.91,83.49,483.02
424.61,538.16,146.48,92.07,1.51,44.49,29.56,443.77
328.81,394.43,102.99,34.5,7.98,29.39,26.98,357.36
284.15,336.71,32.27,5.47,7.07,42.58,64.2,334.56
46.84,61.46,16.71,20.42,1.9,10.19,59.91,133.95
183.86,215.25,3.83,41.87,3.67,36.19,39.98,233.6
132.6,210.11,33.15,21.96,1.06,41.61,87.46,201.78
121.99,139.51,178.17,0.02,6.28,14.89,89.55,187.11
486.51,600.0,48.31,91.5,1.21,13.36,50.2,494.84
196.55,353.33,70.85,84.39,9.86,24.86,86.77,249.53
446.02,600.0,21.07,74.23,7.81,42.68,48.8,500.0
315.57,483.03,44.47,16.78,3.9,28.98,75.26,368.01
397.41,522.34,103.84,12.04,5.79,28.46,55.7,417.76
251.32,386.21,121.55,6.76,9.11,14.94,29.19,299.55
288.45,423.72,49.07,72.4,5.54,10.03,89.6,332.99
246.26,344.33,11.55,92.88,1.74,38.35,54.06,299.77
97.62,116.32,78.21,43.05,3.79,13.07,75.09,174.06
361.23,600.0,46.84,11.91,8.43,32.18,47.54,500.0
140.39,198.63,43.91,51.24,6.44,42.01,21.42,193.44
12.16,15.03,191.97,34.88,6.51,17.3,27.54,115.39
322.74,438.09,123.26,37.48,8.67,33.28,57.22,358.26
88.56,123.08,111.38,62.13,8.94,12.75,71.75,171.63
470.23,600.0,83.16,71.87,9.2,31.13,45.11,498.84
476.96,600.0,85.79,11.06,0.95,15.74,72.16,500.0
457.43,600.0,108.18,3.56,5.44,35.76,72.4,500.0
185.08,205.02,139.29,99.43,7.41,20.54,72.8,237.38
7.73,10.75,140.43,23.27,7.57,26.22,56.94,108.1
464.16,600.0,34.34,5.38,6.07,30.98,88.62,500.0
214.09,238.38,100.02,18.99,1.67,15.99,56.69,258.98
483.33,600.0,82.39,3.9,7.97,35.96,53.77,499.38
481.81,600.0,174.11,39.18,7.2,20.59,34.95,497.02
426.5,510.09,126.28,80.24,0.86,33.18,43.07,442.45
147.22,217.11,106.5,34.12,4.64,15.54,23.18,196.78
192.55,240.81,23.08,44.42,1.74,34.08,67.52,244.67
425.57,471.74,121.13,67.56,3.37,14.49,38.64,435.72
158.46,201.06,23.44,50.89,0.18,24.89,42.81,204.55
84.75,151.11,67.44,86.14,4.0,18.65,77.81,169.13
278.4,462.44,28.57,86.6,5.5,36.19,44.54,348.17
468.08,600.0,138.41,0.99,6.2,19.17,38.16,500.0
348.01,501.66,41.25,77.8,6.63,40.86,32.68,390.6
285.03,335.43,78.37,46.07,8.36,41.21,78.11,335.38
48.59,72.08,179.13,98.88,2.15,16.88,29.73,134.23
307.5,436.06,40.86,48.32,1.2,31.48,54.03,348.67
495.03,600.0,101.56,98.69,8.52,13.07,58.02,500.0
70.04,81.86,83.85,75.46,1.57,23.7,71.55,159.67
259.16,373.66,3.62,24.86,9.75,34.97,67.5,307.75
438.69,528.63,158.55,53.84,8.43,33.08,80.8,453.68
370.38,491.6,13.81,99.21,5.01,31.86,23.36,394.96
348.51,563.24,94.85,85.75,9.81,19.89,42.23,456.81
351.24,503.4,112.14,9.74,0.97,23.23,41.01,393.81
179.75,245.02,125.69,70.64,3.03,13.6,30.95,226.57
146.8,202.01,137.73,34.56,6.38,35.17,41.69,201.78
404.68,575.3,50.65,0.7,3.5,27.64,43.23,470.54
405.06,600.0,2.0,40.35,9.28,34.81,59.14,500.0
433.54,600.0,144.69,23.48,0.66,18.71,69.78,497.71
456.62,600.0,107.13,81.89,5.49,21.36,48.58,497.46
255.67,422.07,167.22,33.73,5.91,21.7,73.96,308.34
250.76,331.2,164.28,82.75,6.53,10.9,45.21,298.63
399.15,600.0,168.67,0.06,2.56,21.94,41.77,500.0
324.98,457.03,97.02,30.78,3.65,38.12,60.59,363.89
350.98,448.65,66.73,24.12,8.44,41.41,21.78,379.9
397.9,600.0,158.31,23.36,1.95,28.14,25.98,500.0
445.0,501.47,90.26,6.82,8.27,25.94,51.35,456.18
169.0,292.57,36.69,18.71,5.63,11.08,90.72,224.22
187.79,267.23,170.99,55.55,7.62,40.77,74.11,241.73
46.99,72.65,176.51,29.14,7.14,10.46,26.61,126.55
289.14,451.51,93.26,41.74,2.08,43.07,83.47,340.2
17.97,31.03,15.14,37.69,5.69,27.12,74.92,66.68
232.8,359.83,77.57,87.59,8.68,21.97,65.82,277.8
271.32,415.06,160.71,90.53,4.32,42.35,81.52,323.41
143.27,164.28,180.35,49.3,9.67,10.85,50.31,197.3
295.42,432.16,40.69,33.02,4.52,30.35,36.61,337.61
15.25,18.38,13.39,10.68,1.43,29.21,58.4,60.21
18.67,30.18,175.47,95.34,3.89,17.68,61.16,110.8
411.3,599.9,77.88,6.02,9.52,25.01,60.37,499.13
180.1,283.86,108.35,29.77,3.2,32.83,62.38,233.77
63.53,71.74,193.61,29.81,8.68,35.45,91.15,161.85
261.12,302.73,13.31,32.04,8.81,10.03,87.67,314.03
385.0,600.0,129.66,16.43,3.5,42.79,85.68,500.0
107.91,124.15,14.82,78.32,0.83,15.76,80.11,180.7
311.45,358.12,75.09,12.25,7.25,18.18,90.76,352.7
42.67,47.3,160.76,63.49,3.12,19.22,27.39,113.07
25.84,45.73,86.69,12.38,7.83,11.32,39.88,77.12
265.68,429.4,199.44,7.05,4.43,14.31,57.13,313.29
270.32,364.19,111.81,90.94,4.85,44.52,83.49,323.52
318.71,416.74,64.23,19.01,7.78,21.03,57.89,354.06
363.05,488.22,44.02,82.13,3.82,14.04,76.1,387.68
487.93,600.0,70.1,54.46,4.43,13.74,30.42,497.93
258.15,403.48,74.51,7.79,3.76,35.18,38.93,306.86
161.48,198.56,13.74,95.54,3.67,39.91,74.88,218.0
397.59,485.81,73.91,24.7,5.26,18.99,32.36,420.32
135.42,158.28,92.85,85.96,8.09,10.73,46.35,184.4
219.49,342.88,144.55,16.88,3.62,17.81,39.86,265.52
39.23,64.14,131.35,85.39,5.24,11.98,46.24,107.33
12.68,16.29,141.75,1.32,6.71,13.62,73.12,112.95
481.32,536.51,1.67,51.18,2.69,25.1,47.59,480.79
417.99,483.83,43.53,76.94,2.78,18.05,61.64,439.55
347.99,600.0,132.34,93.48,9.33,28.06,27.49,498.55
204.48,267.21,96.8,90.92,7.24,18.87,80.38,256.37
86.65,141.97,1.06,81.96,5.77,42.92,47.74,169.05
78.22,120.24,160.9,88.82,6.48,41.71,68.64,166.01
125.12,171.09,154.56,19.92,0.29,29.84,74.4,192.73
274.61,341.61,109.68,28.42,6.18,22.4,35.72,315.74
357.3,423.39,13.29,28.9,5.1,23.34,86.35,390.43
330.1,505.22,153.3,37.71,5.46,24.41,66.22,392.79
139.97,229.86,116.74,39.33,3.59,35.47,52.15,194.49
477.43,600.0,156.39,54.46,0.81,25.81,33.68,500.0
368.95,542.8,150.35,15.99,1.93,39.99,90.67,442.32
277.18,313.03,160.6,69.12,9.51,43.04,76.63,329.18
305.86,543.8,103.6,16.76,4.09,21.76,35.6,437.01
209.8,348.08,28.06,31.03,4.67,29.62,45.33,256.44
123.87,161.64,134.23,50.33,0.53,13.33,80.73,192.0
177.99,317.88,124.09,79.64,0.38,17.02,72.18,222.99
378.92,576.46,148.45,73.95,7.17,24.47,77.43,473.98
7.2,10.85,33.98,64.55,5.38,17.22,53.09,84.87
58.04,94.23,39.0,15.58,5.09,40.68,73.74,158.49
23.0,38.37,178.08,54.7,2.43,15.54,48.99,114.61
20.36,31.76,150.0,8.74,7.45,25.95,35.84,108.58
427.73,508.86,181.65,37.74,1.68,31.2,67.45,445.0
351.83,470.32,151.74,41.35,1.9,34.22,93.2,385.08
237.09,414.82,119.43,3.98,4.61,23.41,43.3,282.18
48.92,61.5,130.83,27.4,2.86,40.42,54.57,138.62
245.81,334.43,177.83,95.56,2.47,29.89,70.55,299.97
236.74,332.01,115.76,95.36,6.45,25.38,60.61,291.54
86.6,121.9,126.48,35.23,6.51,12.35,83.26,166.51
216.93,331.69,31.3,4.31,8.25,26.26,77.13,271.46
199.25,350.71,94.78,17.91,4.18,38.73,24.37,248.1
307.93,390.6,143.28,39.22,0.73,31.51,94.88,355.24
317.55,376.31,54.19,94.78,2.74,39.13,76.43,361.79
22.65,28.05,40.45,14.12,9.8,27.29,84.79,110.42
187.31,322.33,62.77,76.35,5.96,14.15,68.84,236.88
312.93,485.69,48.3,10.87,7.1,10.48,84.22,373.66
251.57,327.07,42.98,98.13,0.07,20.61,28.43,300.65
428.24,600.0,84.97,38.16,5.18,34.43,46.08,499.31
329.35,560.86,181.57,77.52,0.38,37.66,85.73,457.65
81.47,137.89,101.41,34.26,5.69,20.35,35.12,161.5
35.28,61.51,37.58,62.77,9.21,27.35,25.87,101.48
321.21,410.05,15.39,19.2,9.68,24.74,79.11,363.14
13.26,21.59,139.23,14.6,5.41,24.37,82.66,108.62
292.89,416.6,76.56,93.81,4.58,18.1,32.2,329.07
470.12,600.0,164.37,91.76,9.45,14.77,84.08,500.0
287.74,463.24,131.9,88.75,6.74,16.88,71.51,342.58
194.08,318.98,159.25,62.54,0.65,11.94,59.01,244.41
321.64,501.54,54.39,80.83,4.66,16.93,82.27,388.52
229.13,280.5,138.47,6.9,2.4,10.32,51.44,280.9
272.81,404.17,52.81,33.48,4.7,31.95,34.55,316.37
470.73,600.0,187.81,31.37,4.55,21.07,41.36,500.0
193.05,339.03,127.27,63.56,5.82,44.06,57.89,247.28
480.6,543.18,64.9,35.6,3.57,16.78,59.85,484.91
452.68,550.17,53.9,14.85,1.64,22.1,80.42,459.94
97.9,116.71,38.19,59.65,5.04,22.52,79.35,169.95
34.68,55.77,138.93,81.44,8.3,10.3,63.6,106.78
50.39,84.27,43.74,38.21,6.64,39.37,78.56,143.29
9.11,11.38,119.06,13.23,3.38,11.12,34.38,97.96
47.22,68.66,52.93,19.67,9.36,42.91,23.75,127.2
341.5,576.63,132.39,23.75,9.12,41.22,85.52,480.81
35.59,57.41,162.99,29.99,2.09,28.74,25.67,112.26
159.49,235.97,155.61,64.28,0.39,29.03,38.5,209.02
422.44,600.0,152.17,60.09,7.41,32.88,72.15,500.0
11.64,16.94,37.54,69.61,8.28,23.55,50.71,90.14
407.23,532.78,17.68,36.25,9.68,32.65,85.72,429.84
140.93,210.76,139.79,82.4,8.9,11.57,42.35,196.45
59.08,93.48,73.67,20.41,6.01,11.89,20.89,148.14
348.37,596.17,86.47,46.9,5.3,26.0,42.55,495.37
314.47,485.99,6.23,80.09,0.28,29.24,63.36,378.09
438.74,600.0,51.92,18.02,2.47,41.07,48.2,498.73
367.54,445.47,6.74,10.99,4.6,13.66,60.12,395.65
401.74,571.71,175.84,88.37,6.29,38.79,85.74,477.64
141.02,156.04,48.68,34.29,5.57,17.35,88.44,197.04
88.72,112.91,111.47,68.39,7.43,23.79,39.95,169.12
375.31,600.0,7.8,2.53,2.8,21.08,54.66,497.42
403.42,600.0,133.37,69.0,5.65,24.01,61.19,499.25
495.25,579.16,64.61,31.61,0.88,15.27,91.18,499.83
206.31,284.92,179.58,5.57,4.14,27.62,94.9,263.19
186.01,308.78,177.62,60.98,7.5,38.06,37.66,239.72
388.21,482.47,65.06,24.08,6.93,25.45,74.52,417.28
170.4,253.65,180.19,38.68,9.91,27.17,48.35,220.71
465.38,600.0,199.23,8.06,2.78,39.71,20.61,500.0
429.21,600.0,165.08,14.72,4.98,34.71,20.69,497.67
214.5,264.18,168.97,29.8,3.3,27.17,54.54,267.45
375.44,506.38,49.8,8.98,4.41,19.02,56.63,400.93
377.27,600.0,115.34,91.08,8.57,40.97,21.69,500.0
51.56,76.72,13.45,0.6,6.84,30.2,71.52,144.54
451.28,498.06,18.98,48.39,8.82,17.74,42.05,455.24
252.63,412.46,199.78,12.32,2.04,19.42,61.99,300.25
413.23,464.77,65.33,30.77,8.73,38.11,42.57,432.27
160.02,259.56,149.64,92.61,0.6,11.55,32.54,202.46
447.76,556.0,161.33,16.17,8.89,44.72,50.54,463.43
194.6,344.57,171.6,96.58,3.29,14.56,37.42,244.06
5.42,7.36,199.53,20.58,3.15,37.86,60.11,123.4
452.69,600.0,48.3,74.16,5.12,23.82,34.91,495.51
45.64,54.96,8.07,54.67,9.41,27.23,58.13,130.57
159.66,209.78,82.24,88.45,0.48,40.82,31.8,215.72
475.03,600.0,26.02,55.4,3.52,24.45,70.32,500.0
475.3,600.0,4.49,53.46,8.57,28.81,76.55,500.0
286.72,389.31,72.09,19.55,3.96,11.73,28.28,326.23
315.92,446.72,156.75,16.62,1.99,10.08,55.09,352.77
224.22,359.98,113.24,91.65,4.25,18.57,25.32,270.33
146.61,252.21,62.56,32.78,3.86,33.82,64.86,200.76
164.33,248.98,130.87,37.21,9.15,14.24,39.83,214.34
336.26,462.04,46.4,75.98,7.62,13.98,59.57,374.57
376.19,522.46,2.88,33.88,5.05,24.38,58.81,409.12
395.79,600.0,152.87,95.21,9.88,32.67,89.33,500.0
394.81,435.18,124.75,73.79,4.65,34.92,61.18,415.76
45.6,69.94,152.46,59.74,0.58,16.25,63.72,129.92
247.21,333.45,7.79,88.09,2.62,12.79,50.12,293.55
28.78,47.66,167.42,4.96,4.36,42.91,91.18,116.76
274.76,320.13,123.91,25.71,1.57,19.12,78.29,323.9
220.77,333.74,112.68,46.5,9.48,39.87,41.41,276.36
443.85,600.0,124.92,22.7,7.67,40.22,83.32,500.0
175.46,271.89,172.89,74.39,2.68,37.04,52.43,228.29
58.53,67.04,117.39,91.92,5.91,15.91,82.15,155.44
71.5,107.67,116.19,42.38,7.21,38.76,81.72,168.03
380.76,568.48,198.14,34.21,9.41,36.92,34.17,462.18
309.11,461.33,151.35,96.16,8.82,30.89,72.59,350.61
50.56,76.98,88.46,44.49,5.15,21.8,41.8,135.65
42.05,66.17,141.48,48.9,7.75,19.19,42.31,112.58
